epoch,acc,loss,val_acc,val_loss
0,0.223125,2.197158737182617,0.53375,1.8726252651214599
1,0.468125,1.6344395542144776,0.67375,1.1179750299453735
2,0.6015625,1.2261526012420654,0.795,0.748273229598999
3,0.6909375,0.9281333184242249,0.84875,0.5672809255123138
4,0.7540625,0.7656324505805969,0.87875,0.4378587985038757
5,0.796875,0.6404724097251893,0.895,0.36684091269969943
6,0.8296875,0.5489762008190155,0.91,0.30646905183792117
7,0.849375,0.48628215909004213,0.9175,0.28341031551361084
8,0.871875,0.4256562101840973,0.92875,0.24019619941711426
9,0.8678125,0.4047434449195862,0.9325,0.230850031375885
10,0.8809375,0.38476428151130676,0.94375,0.1951853370666504
11,0.888125,0.35525410175323485,0.9425,0.1885164898633957
12,0.89375,0.330792053937912,0.94125,0.18462982296943664
13,0.9015625,0.3060262060165405,0.92875,0.18673623561859132
14,0.9053125,0.30759751856327056,0.9525,0.16866346180438996
15,0.9190625,0.28082186698913575,0.94875,0.1546110415458679
16,0.9196875,0.2617770004272461,0.95375,0.14463305234909057
17,0.9234375,0.2550894743204117,0.95,0.14038242220878602
18,0.920625,0.24764318764209747,0.955,0.14095713436603546
19,0.92875,0.2356380045413971,0.955,0.1443799215555191
20,0.9309375,0.23020561575889587,0.95375,0.1373559421300888
21,0.93625,0.22120391130447387,0.9575,0.12502486884593964
22,0.9321875,0.20864706635475158,0.95375,0.134042227268219
23,0.9359375,0.2058801543712616,0.96,0.13136158168315887
24,0.94625,0.17510095685720445,0.95875,0.12463217213749886
25,0.9465625,0.17330899715423584,0.96,0.11305145025253296
26,0.941875,0.18120719969272614,0.96375,0.10556062869727612
27,0.9496875,0.16760924816131592,0.95875,0.11157781779766082
28,0.94625,0.17888710409402847,0.9675,0.1049853253364563
29,0.9496875,0.16109913051128388,0.97,0.10342724621295929
30,0.9503125,0.15500567227602005,0.96375,0.10933027654886246
31,0.955,0.14527181342244147,0.96875,0.10409214794635772
32,0.95125,0.1583540228009224,0.96875,0.10640968710184097
33,0.945,0.1635743248462677,0.965,0.1004504581540823
34,0.9578125,0.13987635791301728,0.97125,0.09896178305149078
35,0.9496875,0.1609238314628601,0.965,0.09853419944643975
36,0.9590625,0.1272988922894001,0.96375,0.09819867253303528
37,0.9596875,0.12931839615106583,0.96875,0.09672206655144691
38,0.9584375,0.12704571232199668,0.96125,0.11007844150066376
39,0.964375,0.1243954685330391,0.965,0.10516373723745347
